date,Open price,High price,Low price,Close price
9/11/2014,1248.42,1250.46,1234.71,1240.75
10/25/2017,1277.5,1280.4,1272,1278.2
10/26/2017,1278.1,1283.2,1266.01,1267.41
10/28/2017,1273.57,1274.12,1272.97,1274.06
10/30/2017,1273.15,1278.88,1269.05,1276.2
10/31/2017,1276.03,1278.04,1267.86,1270.97
11/1/2017,1270.96,1280.93,1268.11,1276.12
11/6/2017,1270.12,1283.32,1266.41,1281.25
11/7/2017,1281.33,1282.26,1272.51,1276.99
11/8/2017,1276.97,1287.52,1275.34,1282.21
11/11/2017,1276.4,1276.6,1275.1,1275.13
11/13/2017,1275.18,1279.97,1274.56,1278.26
11/14/2017,1278.24,1283.81,1270.59,1281.84
11/15/2017,1281.93,1289.5,1277.19,1278.96
11/18/2017,1295.24,1295.39,1293.7,1294.41
11/20/2017,1292.46,1295.03,1275.22,1277.53
11/21/2017,1277.46,1284.92,1276.61,1280.64
11/22/2017,1280.66,1294.82,1279.34,1292.55
11/29/2017,1293,1296.19,1281.3,1283.3
12/3/2017,1282.3,1282.3,1282.3,1282.3
12/4/2017,1276.8,1279.7,1273.9,1278.1
12/5/2017,1277.9,1279.8,1263.3,1268.6
12/7/2017,1266.7,1267.2,1246.1,1246.2
12/12/2017,1242.59,1246.29,1236.59,1243.63
12/13/2017,1243.62,1256.76,1240.37,1254.93
12/16/2017,1255.61,1256.49,1255.12,1255.2
12/23/2017,1274.41,1275.74,1273.95,1274.97
12/26/2017,1278.36,1283.8,1277.22,1283.24
12/27/2017,1283.19,1289.01,1281.43,1288.13
12/30/2017,1303.91,1303.91,1302.24,1302.84
1/6/2018,1319.45,1320.67,1318.53,1319.37
1/8/2018,1320.55,1322.15,1314.89,1319.29
1/9/2018,1319.47,1320.67,1309.1,1313.46
1/10/2018,1313.45,1327.65,1308.41,1318.55
1/15/2018,1337.12,1344.69,1336.17,1340.16
1/16/2018,1340.45,1342.35,1332.3,1339.23
1/18/2018,1329.18,1332.66,1324.41,1326.78
1/20/2018,1333.38,1333.63,1331.24,1331.79
1/22/2018,1334.76,1335.66,1328.86,1333.51
1/23/2018,1333.69,1341.85,1331.78,1340.26
1/24/2018,1340.24,1361.83,1339.62,1358.23
1/25/2018,1358.76,1366.06,1343.18,1346.03
1/27/2018,1350.63,1351.51,1348.84,1350.04
1/29/2018,1350.13,1352.37,1337.94,1342.08
1/31/2018,1337.28,1347.63,1333.28,1346.47
2/1/2018,1346.28,1349.36,1337.42,1348.88
2/3/2018,1331.68,1333.29,1329.64,1333.13
2/5/2018,1332.35,1341.46,1329.09,1338.24
2/6/2018,1338.51,1346.09,1320.33,1320.33
2/7/2018,1321.24,1332.35,1311.98,1315.51
2/8/2018,1314.92,1321.72,1307.24,1317.62
2/10/2018,1313.56,1317.74,1313.09,1316.14
2/12/2018,1315.1,1326.11,1314.3,1323.86
2/14/2018,1329.61,1355.45,1329.05,1353.61
2/17/2018,1348.64,1349.32,1347.22,1347.3
2/19/2018,1347.8,1351.37,1346.08,1346.72
2/21/2018,1329.57,1330.56,1322.74,1324.56
2/24/2018,1330.05,1330.13,1329.65,1329.97
2/26/2018,1327.78,1340.97,1327.22,1333.64
2/28/2018,1333.47,1336.74,1313.62,1317.62
3/1/2018,1317.44,1320.14,1302.9,1318.1
3/3/2018,1321.82,1322.78,1320.45,1322.49
3/5/2018,1323.76,1327.83,1317.61,1319.36
3/6/2018,1319.06,1338.55,1319.03,1334.59
3/7/2018,1334.6,1340.61,1322.59,1323.97
3/8/2018,1324.17,1329.04,1319.22,1321.69
3/10/2018,1322.34,1323.75,1322.03,1323.49
3/12/2018,1323.92,1324.37,1315.34,1323.3
3/13/2018,1323.2,1328.32,1316.84,1326.01
3/14/2018,1326.18,1330.1,1321.72,1325.13
3/15/2018,1325.11,1327.98,1315.04,1315.91
3/17/2018,1313.74,1314.13,1313.6,1313.86
3/25/2018,1347.23,1347.23,1347.23,1347.23
4/5/2018,1332.99,1334.95,1322.82,1325.61
4/7/2018,1333.33,1333.33,1333.33,1333.33
4/9/2018,1334.43,1337.91,1326.96,1336.44
4/11/2018,1340.66,1365.12,1339.23,1352.12
4/21/2018,1335.83,1336.4,1335.38,1335.58
4/23/2018,1335.16,1335.54,1322.27,1323.51
4/25/2018,1329.93,1332.14,1319.04,1322.68
4/28/2018,1316.85,1325.2,1315.6,1324.31
4/30/2018,1323.94,1325.98,1310.46,1317.18
5/1/2018,1317.44,1317.46,1301.95,1305.86
5/3/2018,1306.18,1318.09,1304.05,1313.68
5/5/2018,1313.99,1315.19,1313.81,1315.12
5/7/2018,1314.89,1318.92,1310.33,1313.78
5/8/2018,1313.82,1317.87,1306.22,1315.73
5/12/2018,1319.76,1320.01,1318.12,1318.21
5/15/2018,1314.14,1314.91,1288.83,1291.9
5/19/2018,1293.33,1293.42,1291.78,1293.14
5/21/2018,1290.76,1292.87,1282.19,1292.14
5/22/2018,1292.07,1296.14,1288.1,1292.15
5/28/2018,1300.09,1300.29,1295.61,1298.14
5/29/2018,1297.99,1306.44,1293.84,1302.09
5/30/2018,1301.94,1304.16,1295.99,1302.01
6/2/2018,1292.81,1294.04,1292.62,1293.29
6/7/2018,1296.86,1303.18,1295.16,1297.4
6/9/2018,1298.97,1299.23,1298.4,1299.04
6/11/2018,1299.95,1302.22,1294.26,1300.36
6/12/2018,1300.5,1300.62,1293.36,1295.68
6/13/2018,1295.67,1301.16,1292.68,1299.01
6/18/2018,1277.6,1282.47,1277.26,1278.83
6/23/2018,1269.84,1270.51,1269.01,1269.49
6/25/2018,1270.24,1272.63,1264.58,1266.82
6/28/2018,1252.84,1254.17,1246.01,1247.57
6/30/2018,1251.6,1253.41,1251.49,1252.81
7/2/2018,1251.82,1254.24,1239.88,1242.44
7/3/2018,1242.12,1256.92,1238.01,1253.38
7/4/2018,1252.74,1261.09,1252.23,1256.98
7/5/2018,1256.72,1259.79,1251.39,1256.66
7/12/2018,1256.33,1256.96,1242.63,1242.86
7/14/2018,1241.45,1241.71,1241.03,1241.61
7/16/2018,1240.95,1245.6,1238.4,1240.93
7/17/2018,1241.11,1244.99,1226.15,1228.45
7/18/2018,1228.46,1229.17,1221.2,1227.8
7/21/2018,1229.89,1231.86,1229.46,1231.77
7/23/2018,1231.67,1235.1,1222.44,1224.58
7/24/2018,1224.47,1229.48,1218.32,1224.71
7/25/2018,1224.55,1234.12,1223.35,1232.38
7/26/2018,1232.16,1235.24,1222.62,1223.46
7/28/2018,1222.72,1223.75,1222.57,1223.08
7/31/2018,1221.76,1227.81,1214.09,1224.88
8/1/2018,1224.85,1225.27,1216.9,1217.47
8/2/2018,1217.29,1221.12,1208.63,1209.41
8/6/2018,1213.76,1217.88,1207.42,1207.97
8/7/2018,1207.86,1216.08,1206.86,1210.14
8/9/2018,1209.83,1215.66,1206.73,1213.26
8/14/3018,1194.18,1198.69,1192.22,1194.66
8/18/2018,1182.52,1185.11,1182.34,1184.75
8/21/2018,1190.48,1196.34,1187.8,1192.87
8/27/2018,1207.44,1212.4,1203.24,1209.37
8/28/2018,1209.47,1214.34,1199.76,1200.81
8/29/2018,1200.69,1206.76,1200.05,1206.13
9/4/2018,1201.69,1202.03,1189.84,1192.18
9/6/2018,1196.59,1207.01,1195.92,1199.43
9/8/2018,1196.05,1196.63,1195.49,1195.86
9/10/2018,1195.23,1198.43,1191.7,1195.13
9/11/2018,1194.9,1197.81,1187.9,1196.56
9/13/2018,1206.74,1212.69,1200.28,1200.78
